date_time,x,y,z,i
2018-09-20 15:37:37.281,-592,16072,-1276,2141
2018-09-20 15:37:37.283,-592,16072,-1276,2139
2018-09-20 15:37:37.285,-628,16160,-1304,2137
2018-09-20 15:37:37.287,-628,16160,-1304,2137
2018-09-20 15:37:37.290,-704,16192,-1236,2145
2018-09-20 15:37:37.292,-704,16192,-1236,2139
2018-09-20 15:37:37.294,-708,16244,-1164,2145
2018-09-20 15:37:37.296,-708,16244,-1164,2143
2018-09-20 15:37:37.299,-708,16244,-1112,2140
2018-09-20 15:37:37.301,-796,16320,-1112,2148
2018-09-20 15:37:37.303,-796,16320,-1112,2139
2018-09-20 15:37:37.305,-888,16400,-1064,2137
2018-09-20 15:37:37.308,-888,16400,-1064,2137
2018-09-20 15:37:37.310,-864,16396,-952,2138
2018-09-20 15:37:37.312,-864,16396,-952,2144
2018-09-20 15:37:37.315,-876,16360,-968,2142
2018-09-20 15:37:37.317,-876,16360,-968,2145
2018-09-20 15:37:37.319,-876,16412,-940,2138
2018-09-20 15:37:37.321,-844,16412,-940,2147
2018-09-20 15:37:37.324,-844,16412,-940,2135
2018-09-20 15:37:37.326,-808,16324,-968,2147
2018-09-20 15:37:37.328,-808,16324,-968,2141
2018-09-20 15:37:37.330,-772,16276,-968,2145
2018-09-20 15:37:37.333,-772,16276,-968,2147
2018-09-20 15:37:37.335,-716,16252,-1084,2143
2018-09-20 15:37:37.337,-716,16252,-1084,2141
2018-09-20 15:37:37.340,-696,16176,-1164,2143
2018-09-20 15:37:37.342,-696,16176,-1164,2147
2018-09-20 15:37:37.344,-696,16176,-1164,2143
2018-09-20 15:37:37.346,-672,16132,-1228,2143
2018-09-20 15:37:37.348,-672,16132,-1228,2137
2018-09-20 15:37:37.351,-736,16088,-1344,2137
2018-09-20 15:37:37.353,-736,16088,-1344,2138
2018-09-20 15:37:37.355,-684,16100,-1324,2144
2018-09-20 15:37:37.358,-684,16100,-1324,2141
2018-09-20 15:37:37.360,-656,16152,-1204,2139
2018-09-20 15:37:37.362,-656,16152,-1204,2139
2018-09-20 15:37:37.364,-656,16152,-1112,2137
2018-09-20 15:37:37.367,-652,16260,-1112,2138
2018-09-20 15:37:37.369,-652,16260,-1112,2140
2018-09-20 15:37:37.371,-628,16252,-1044,2143
2018-09-20 15:37:37.373,-628,16252,-1044,2149
2018-09-20 15:37:37.376,-688,16276,-992,2140
2018-09-20 15:37:37.378,-688,16276,-992,2145
2018-09-20 15:37:37.380,-708,16280,-1008,2140
2018-09-20 15:37:37.383,-708,16280,-1008,2145
2018-09-20 15:37:37.385,-708,16280,-1048,2144
2018-09-20 15:37:37.387,-772,16340,-1048,2135
2018-09-20 15:37:37.389,-772,16340,-1048,2150
2018-09-20 15:37:37.391,-788,16216,-1084,2139
2018-09-20 15:37:37.394,-788,16216,-1084,2149
2018-09-20 15:37:37.396,-768,16200,-1168,2139
2018-09-20 15:37:37.398,-768,16200,-1168,2147
2018-09-20 15:37:37.401,-792,16292,-1136,2142
2018-09-20 15:37:37.403,-792,16292,-1136,2136
2018-09-20 15:37:37.405,-792,16276,-1212,2147
2018-09-20 15:37:37.407,-784,16276,-1212,2144
2018-09-20 15:37:37.410,-784,16276,-1212,2146
2018-09-20 15:37:37.412,-816,16224,-1100,2146
2018-09-20 15:37:37.414,-816,16224,-1100,2140
2018-09-20 15:37:37.416,-760,16340,-1136,2147
2018-09-20 15:37:37.419,-760,16340,-1136,2142
2018-09-20 15:37:37.421,-720,16308,-1080,2146
2018-09-20 15:37:37.423,-720,16308,-1080,2141
2018-09-20 15:37:37.425,-720,16308,-1008,2140
2018-09-20 15:37:37.428,-748,16260,-1008,2138
2018-09-20 15:37:37.430,-748,16260,-1008,2149
2018-09-20 15:37:37.434,-768,16200,-1120,2143
2018-09-20 15:37:37.436,-744,16264,-1072,2132
2018-09-20 15:37:37.439,-744,16264,-1072,2149
2018-09-20 15:37:37.441,-748,16232,-1056,2144
2018-09-20 15:37:37.448,-720,16232,-1056,2141
2018-09-20 15:37:37.451,-720,16232,-1128,2142
2018-09-20 15:37:37.454,-712,16200,-1128,2137
2018-09-20 15:37:37.456,-684,16192,-1088,2137
2018-09-20 15:37:37.459,-684,16192,-1088,2149
2018-09-20 15:37:37.463,-688,16224,-1032,2138
2018-09-20 15:37:37.466,-688,16224,-1032,2139
2018-09-20 15:37:37.468,-644,16200,-1056,2148
2018-09-20 15:37:37.471,-644,16200,-1056,2141
2018-09-20 15:37:37.476,-636,16184,-1040,2146
2018-09-20 15:37:37.478,-680,16252,-1072,2146
2018-09-20 15:37:37.480,-680,16252,-1072,2137
2018-09-20 15:37:37.483,-656,16160,-1192,2144
2018-09-20 15:37:37.485,-656,16160,-1192,2140
2018-09-20 15:37:37.490,-792,16120,-1200,2140
2018-09-20 15:37:37.493,-740,16092,-1188,2139
2018-09-20 15:37:37.495,-740,16092,-1188,2140
2018-09-20 15:37:37.498,-756,16132,-1128,2148
2018-09-20 15:37:37.501,-756,16132,-1128,2137
2018-09-20 15:37:37.505,-756,16128,-1128,2143
2018-09-20 15:37:37.507,-756,16128,-1128,2140
2018-09-20 15:37:37.510,-776,16216,-1128,2148
2018-09-20 15:37:37.512,-776,16216,-1128,2148
2018-09-20 15:37:37.514,-752,16224,-1056,2140
2018-09-20 15:37:37.516,-752,16224,-1056,2137
2018-09-20 15:37:37.518,-752,16224,-1056,2142
2018-09-20 15:37:37.521,-740,16208,-1084,2146
2018-09-20 15:37:37.523,-740,16208,-1084,2131
2018-09-20 15:37:37.525,-748,16284,-1092,2144
2018-09-20 15:37:37.527,-748,16284,-1092,2143
2018-09-20 15:37:37.529,-748,16244,-1016,2142
2018-09-20 15:37:37.531,-712,16244,-1016,2147
2018-09-20 15:37:37.533,-712,16244,-1016,2146
2018-09-20 15:37:37.536,-740,16360,-1068,2143
2018-09-20 15:37:37.538,-740,16360,-1068,2133
2018-09-20 15:37:37.540,-780,16244,-948,2141
2018-09-20 15:37:37.542,-780,16244,-948,2144
2018-09-20 15:37:37.544,-712,16240,-1080,2138
2018-09-20 15:37:37.547,-712,16240,-1080,2150
2018-09-20 15:37:37.549,-712,16240,-1080,2144
2018-09-20 15:37:37.551,-712,16224,-1084,2137
2018-09-20 15:37:37.554,-712,16224,-1084,2137
2018-09-20 15:37:37.556,-764,16200,-1104,2146
2018-09-20 15:37:37.558,-764,16200,-1104,2135
2018-09-20 15:37:37.560,-744,16208,-1056,2147
2018-09-20 15:37:37.563,-744,16208,-1056,2141
