0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,label
13840,14608,14608,21776,21776,14452,14452,14552,14552,14376,22280,13312,13312,15088,15088,14052,14052,22732,22732,15532,15532,13932,13932,23076,23076,12364,15888,15888,13764,23324,23324,11756,11756,16252,16252,16252,13724,23532,23532,23532,11564,11564,16520,16520,13680,13680,13680,23408,23408,11140,16732,16732,16732,13696,13696,23348,23348,10980,10980,16912,16912,16912,14068,14068,23064,23064,10768,10768,17000,17000,14316,14316,14316,22740,22740,10860,10860,16908,16908,14576,14576,14576,22320,22320,11004,11004,16860,16860,15600,15600,21256,11224,11224,16592,16592,16592,16120,16120,20972,20972,11552,11552,16344,16344,16344,16880,16880,19656,19656,11964,11964,15976,15976,17860,17860,17860,18792,18792,12352,12352,15836,15836,18676,18676,18676,17900,17900,13016,1
13016,15276,15276,19864,19864,19864,16664,16664,13472,13472,15112,15112,20628,20628,20628,15636,15636,13520,13520,14560,14560,21748,21748,21748,14668,14668,14568,14568,14200,14200,22404,22404,22404,13528,13528,14896,14896,13888,13888,23176,23176,23176,12608,12608,15488,15488,13628,13628,23296,23296,12040,12040,12040,15984,15984,13460,13460,23672,23672,11592,11592,11592,16308,16308,13672,13672,23700,23700,10956,10956,10956,16752,16752,13656,13656,23620,23620,10856,10856,10856,16788,16788,14076,14076,23140,23140,10624,10624,10624,16956,16956,14528,14528,22880,22880,10868,10868,16836,16836,16836,14824,14824,22224,22224,11440,11440,11440,16788,16788,15556,15556,21224,21224,11216,11216,16224,16224,16224,16316,20848,20848,11792,11792,16060,16060,17476,17476,17476,1
15464,15464,13692,13692,14540,14540,21448,21448,21448,14720,14720,14420,14420,14244,14244,21832,21832,21832,13916,13916,15008,15008,13752,13752,22884,22884,22884,12856,12856,15424,15424,13788,13788,23328,23328,12060,12060,12060,16020,16020,13352,13352,23588,23588,11620,11620,11620,16540,16540,13484,13484,23696,23696,10968,10968,16684,16684,16684,13592,13592,23580,23580,10896,10896,16828,16828,16828,14000,14000,23084,23084,10836,10836,16872,16872,14588,14588,14588,22296,22296,10988,10988,16776,16776,16776,15484,15484,21636,21636,11376,11376,16552,16552,15972,15972,15972,20912,20912,11712,11712,16272,16272,16824,16824,16824,19836,19836,11864,11864,15972,15972,17908,17908,17908,18912,18912,12504,12504,15648,15648,18612,18612,18612,18064,18064,13008,15364,15364,1
19436,19436,16828,16828,13364,13364,13364,15088,15088,20344,20344,15972,15972,13856,13856,13856,14536,14536,21064,21064,14904,14904,14360,14360,14360,14216,14216,22280,22280,13672,13672,14976,14976,14976,13840,13840,22704,22704,12852,12852,15632,15632,13720,13720,23240,23240,12452,12452,15880,15880,13364,13364,13364,23284,23284,11916,11916,16220,16220,13508,13508,13508,23444,23444,11776,11776,16452,16452,13556,13556,13556,23412,23412,11480,11480,16872,16872,13776,13776,13776,22952,22952,11216,16896,16896,22244,22244,11520,11520,16616,14992,14992,21816,21816,11584,16340,16340,15884,15884,21252,21252,12096,12096,14476,14476,20812,15232,15232,14528,14528,14208,14208,14208,22172,22172,13804,13804,13804,14884,14884,14024,14024,22652,22652,13152,13152,15424,15424,1
13384,13384,13384,23096,23096,12592,12592,16020,16020,13448,13448,23440,23440,11800,11800,16156,16156,16156,13288,13288,23472,23472,11772,11772,16580,16580,16580,13396,13396,23360,23360,12156,12156,16464,16464,16464,13260,13260,23348,23348,11400,11400,16600,16600,16600,14172,14172,23324,23324,11036,11036,16644,16644,13992,13992,13992,22452,22452,11636,11636,16788,16788,14628,14628,21568,21568,21568,12564,12564,15728,15728,15216,15216,21372,21372,21372,12128,12128,16024,16024,16124,16124,20840,20840,20840,12648,15556,15556,16124,16124,19824,19824,19824,13376,13376,15388,15388,17316,17316,19248,19248,19248,12908,12908,14980,14980,18060,18060,18496,18496,18496,14164,14164,14696,14696,18536,18536,17408,17408,14120,14120,14120,14300,14300,19600,19600,17068,17068,1
15188,15188,15188,13136,13136,20664,15076,15500,15500,13040,22036,15072,15072,15404,15404,12624,12624,22036,22036,13788,13788,16000,16000,16000,12820,12820,23336,23336,13544,13544,15920,15920,15920,12364,12364,22564,22564,12872,12872,16644,16644,16644,12888,12888,23272,23272,13424,13424,16216,16216,16216,12296,12296,22772,22772,12380,12380,16832,16832,16832,12928,12928,23876,23876,11760,11760,16296,16296,16296,13508,13508,22240,22240,12640,12640,16420,16420,16420,15152,15152,21176,21176,13216,13216,14732,14732,14732,15844,15844,20536,20536,13792,13792,15116,15116,15116,16632,16632,19872,19872,13644,13644,14416,14416,14416,17652,17652,18776,18776,14016,14016,14720,18424,18424,17848,17848,14784,14784,13148,13148,19316,19316,16876,16876,16876,15740,16332,11896,1
11896,23464,23464,23464,12756,12756,16692,16692,12192,12192,12192,23788,23788,12008,12008,12008,17136,17136,11824,11824,23692,23692,23692,12600,12600,16920,16920,11844,11844,11844,23944,23944,12016,12016,17296,17296,12228,12228,12228,24296,24296,11668,11668,16948,16948,12396,12396,12396,23708,23708,11252,11252,17252,17252,13160,13160,23672,23672,23672,11008,11008,17072,17072,13464,13464,22816,22816,22816,11784,11784,16788,16788,14656,14656,14656,22036,22036,11572,11572,16632,16632,15004,15004,21576,21576,21576,12008,12008,16576,16576,15708,15708,20644,20644,20644,12052,12052,16240,16240,16312,16312,20204,20204,20204,12296,12296,15792,15792,17848,17848,18264,18264,18264,13260,13260,15016,15016,19192,19192,17304,17304,17304,13756,13756,14432,14432,20392,20392,1
15760,15760,14504,14504,14128,14128,21220,14776,14776,14776,13760,13760,22324,13724,13724,15500,13148,13148,23108,23108,12928,12928,15940,15940,12876,12876,12208,12208,16288,16288,13020,13020,13020,23884,23884,11744,11744,16432,16432,16432,12704,12704,24204,24204,11580,11580,11580,16744,16744,13040,13040,24032,24032,11160,11160,11160,16804,16804,13064,13064,24000,24000,10928,10928,10928,16940,16940,13212,13212,23816,23816,10824,10824,17220,17220,17220,13552,13552,23408,23408,10860,10860,16964,16964,16964,14036,14036,22956,22956,10904,10904,16852,16852,16852,14724,14724,22316,22316,11112,11112,16776,16776,15112,15112,15112,21784,21784,11568,11568,16352,16352,16432,16432,16432,19336,19336,12440,12440,15656,15656,18416,18416,18416,18084,18084,13160,13160,15160,1
15160,19276,19276,19276,17216,17216,13496,13496,14740,14740,20540,20540,20540,15832,15832,14096,14096,14580,14580,21224,21224,21224,14728,14728,14800,14800,14060,14060,22352,22352,22352,13820,13820,15204,15204,13500,13500,13500,23052,23052,12796,12796,15608,15608,13532,13532,23644,23644,23644,11812,11812,16188,16188,13268,13268,23684,23684,23684,11648,11648,16448,16448,13228,13228,23828,23828,23828,11412,11412,16780,16780,13348,13348,23864,23864,23864,11020,11020,16944,16944,13172,13172,23632,23632,10884,10884,10884,17060,17060,13572,13572,23368,23368,10864,10864,10864,17060,17060,14120,14120,22568,22568,11088,11088,11088,17036,17036,14824,14824,21996,21996,11496,11496,16520,16520,16520,15732,15732,20668,20668,11908,11908,11908,16184,16184,17008,17008,19596,1
19596,12328,12328,15816,15816,17928,17928,18332,18332,18332,13140,13140,14940,14940,19776,19776,16632,16632,13712,13712,13712,14740,14740,20676,20676,15748,15748,13980,13980,13980,14428,14428,21300,21300,14892,14892,14764,14764,14764,14096,14096,22240,22240,13428,13428,15480,15480,15480,13508,13508,23036,23036,12688,12688,15900,15900,15900,13348,13348,23240,23240,12336,12336,16012,16012,16012,13208,13208,23672,23672,11664,11664,16392,16392,13432,13432,13432,23848,11392,16664,16664,13292,13292,13292,23740,23740,11124,11124,17172,17172,13448,13448,13448,23584,23584,10912,10912,16872,16872,13808,13808,13808,23144,23144,11240,11240,16772,16772,14100,14100,14100,22816,22816,11060,11060,16652,16652,14796,14796,14796,22096,22096,11852,11852,16516,16516,15328,15328,1
