date_time,y
2018-09-20 15:27:56.471,16628
2018-09-20 15:27:56.474,16628
2018-09-20 15:27:56.476,17984
2018-09-20 15:27:56.479,17984
2018-09-20 15:27:56.481,18420
2018-09-20 15:27:56.484,18420
2018-09-20 15:27:56.486,14836
2018-09-20 15:27:56.488,14836
2018-09-20 15:27:56.490,14836
2018-09-20 15:27:56.492,17964
2018-09-20 15:27:56.494,17964
2018-09-20 15:27:56.496,17620
2018-09-20 15:27:56.499,17620
2018-09-20 15:27:56.501,17620
2018-09-20 15:27:56.503,17400
2018-09-20 15:27:56.505,17400
2018-09-20 15:27:56.507,13984
2018-09-20 15:27:56.509,13984
2018-09-20 15:27:56.511,17476
2018-09-20 15:27:56.514,17476
2018-09-20 15:27:56.516,17476
2018-09-20 15:27:56.518,15880
2018-09-20 15:27:56.520,15880
2018-09-20 15:27:56.523,16080
2018-09-20 15:27:56.525,16080
2018-09-20 15:27:56.527,12956
2018-09-20 15:27:56.529,12956
2018-09-20 15:27:56.531,12956
2018-09-20 15:27:56.533,17032
2018-09-20 15:27:56.535,17032
2018-09-20 15:27:56.538,15396
2018-09-20 15:27:56.540,15396
2018-09-20 15:27:56.542,17276
2018-09-20 15:27:56.544,17276
2018-09-20 15:27:56.546,17276
2018-09-20 15:27:56.548,14272
2018-09-20 15:27:56.550,14272
2018-09-20 15:27:56.552,18488
2018-09-20 15:27:56.555,18488
2018-09-20 15:27:56.557,18488
2018-09-20 15:27:56.559,18536
2018-09-20 15:27:56.561,18536
2018-09-20 15:27:56.564,18320
2018-09-20 15:27:56.566,18320
2018-09-20 15:27:56.568,13364
2018-09-20 15:27:56.570,13364
2018-09-20 15:27:56.573,17128
2018-09-20 15:27:56.575,17128
2018-09-20 15:27:56.577,17128
2018-09-20 15:27:56.579,14340
2018-09-20 15:27:56.582,14340
2018-09-20 15:27:56.584,15404
2018-09-20 15:27:56.586,15404
2018-09-20 15:27:56.588,12724
2018-09-20 15:27:56.590,12724
2018-09-20 15:27:56.593,18316
2018-09-20 15:27:56.595,18316
2018-09-20 15:27:56.597,18316
2018-09-20 15:27:56.600,15860
2018-09-20 15:27:56.602,15860
2018-09-20 15:27:56.604,16560
2018-09-20 15:27:56.606,16560
2018-09-20 15:27:56.609,14332
2018-09-20 15:27:56.611,14332
2018-09-20 15:27:56.613,18772
2018-09-20 15:27:56.616,18772
2018-09-20 15:27:56.618,16256
2018-09-20 15:27:56.620,16256
2018-09-20 15:27:56.622,16256
2018-09-20 15:27:56.627,17172
2018-09-20 15:27:56.629,14252
2018-09-20 15:27:56.631,14252
2018-09-20 15:27:56.634,18308
2018-09-20 15:27:56.636,18308
2018-09-20 15:27:56.639,16764
2018-09-20 15:27:56.641,16764
2018-09-20 15:27:56.643,16716
2018-09-20 15:27:56.646,16716
2018-09-20 15:27:56.648,16716
2018-09-20 15:27:56.650,14572
2018-09-20 15:27:56.653,14572
2018-09-20 15:27:56.655,18944
2018-09-20 15:27:56.657,18944
2018-09-20 15:27:56.659,16012
2018-09-20 15:27:56.662,16012
2018-09-20 15:27:56.664,15596
2018-09-20 15:27:56.666,15596
2018-09-20 15:27:56.669,14508
