date_time,x,y,z,i
2018-09-20 15:30:41.730,-5632,13304,5184,2142
2018-09-20 15:30:41.732,-5632,13304,5184,2136
2018-09-20 15:30:41.735,-5632,14964,-4908,2137
2018-09-20 15:30:41.737,364,14964,-4908,2142
2018-09-20 15:30:41.739,364,14964,-4908,2129
2018-09-20 15:30:41.741,-6844,19460,3560,2117
2018-09-20 15:30:41.743,-6844,19460,3560,2092
2018-09-20 15:30:41.745,9672,16580,-8788,2106
2018-09-20 15:30:41.748,9672,16580,-8788,2125
2018-09-20 15:30:41.750,-6620,13908,5412,2130
2018-09-20 15:30:41.752,-6620,13908,5412,2139
2018-09-20 15:30:41.754,-6620,13908,5412,2141
2018-09-20 15:30:41.756,620,14744,-4808,2135
2018-09-20 15:30:41.758,620,14744,-4808,2133
2018-09-20 15:30:41.760,-7192,20208,3984,2122
2018-09-20 15:30:41.763,-7192,20208,3984,2100
2018-09-20 15:30:41.765,10268,15828,-9060,2098
2018-09-20 15:30:41.767,10268,15828,-9060,2122
2018-09-20 15:30:41.769,10268,15828,-9060,2131
2018-09-20 15:30:41.771,-7480,14400,5508,2140
2018-09-20 15:30:41.773,-7480,14400,5508,2142
2018-09-20 15:30:41.776,956,14384,-4976,2143
2018-09-20 15:30:41.778,956,14384,-4976,2138
2018-09-20 15:30:41.780,-7096,20772,3692,2128
2018-09-20 15:30:41.782,-7096,20772,3692,2108
2018-09-20 15:30:41.784,-7096,20772,3692,2092
2018-09-20 15:30:41.786,10936,14936,-9156,2101
2018-09-20 15:30:41.788,10936,14936,-9156,2130
2018-09-20 15:30:41.790,-7992,15088,5432,2145
2018-09-20 15:30:41.793,-7992,15088,5432,2147
2018-09-20 15:30:41.795,-7992,13980,-4728,2151
2018-09-20 15:30:41.797,868,13980,-4728,2129
2018-09-20 15:30:41.799,868,13980,-4728,2121
2018-09-20 15:30:41.801,-6732,21788,3340,2124
2018-09-20 15:30:41.804,-6732,21788,3340,2097
2018-09-20 15:30:41.806,11164,13976,-8812,2108
2018-09-20 15:30:41.808,11164,13976,-8812,2118
2018-09-20 15:30:41.810,11164,13976,-8812,2138
2018-09-20 15:30:41.812,-8388,15632,5348,2138
2018-09-20 15:30:41.814,-8388,15632,5348,2141
2018-09-20 15:30:41.817,628,13672,-4440,2145
2018-09-20 15:30:41.819,628,13672,-4440,2129
2018-09-20 15:30:41.822,-6204,22392,2796,2115
2018-09-20 15:30:41.824,-6204,22392,2796,2089
2018-09-20 15:30:41.826,11412,13148,-8424,2110
2018-09-20 15:30:41.829,11412,13148,-8424,2124
2018-09-20 15:30:41.831,-8492,15864,5244,2140
2018-09-20 15:30:41.833,-8492,15864,5244,2143
2018-09-20 15:30:41.836,464,13480,-4112,2141
2018-09-20 15:30:41.839,464,13480,-4112,2132
2018-09-20 15:30:41.841,-5568,22892,2112,2123
2018-09-20 15:30:41.843,-5568,22892,2112,2092
2018-09-20 15:30:41.845,-5568,22892,-8272,2102
2018-09-20 15:30:41.848,11228,12392,-8272,2131
2018-09-20 15:30:41.850,11228,12392,-8272,2129
2018-09-20 15:30:41.852,-9008,16264,5212,2142
2018-09-20 15:30:41.854,-9008,16264,5212,2137
2018-09-20 15:30:41.857,16,13308,-3612,2139
2018-09-20 15:30:41.859,16,13308,-3612,2125
2018-09-20 15:30:41.861,-4900,23052,1572,2114
2018-09-20 15:30:41.864,-4900,23052,1572,2097
2018-09-20 15:30:41.866,-4900,23052,-7532,2108
2018-09-20 15:30:41.868,10440,12100,-7532,2125
2018-09-20 15:30:41.870,10440,12100,-7532,2143
2018-09-20 15:30:41.872,-8780,16804,4300,2148
2018-09-20 15:30:41.875,-8780,16804,4300,2150
2018-09-20 15:30:41.877,-436,13080,-3108,2141
2018-09-20 15:30:41.879,-436,13080,-3108,2135
2018-09-20 15:30:41.882,-3896,23304,784,2113
2018-09-20 15:30:41.884,-3896,23304,784,2100
2018-09-20 15:30:41.886,-3896,11816,-6696,2112
2018-09-20 15:30:41.888,9900,11816,-6696,2131
2018-09-20 15:30:41.891,9900,11816,-6696,2133
2018-09-20 15:30:41.893,-8108,16864,3864,2138
2018-09-20 15:30:41.895,-8108,16864,3864,2146
2018-09-20 15:30:41.897,-1264,12952,-2464,2142
2018-09-20 15:30:41.900,-1264,12952,-2464,2133
2018-09-20 15:30:41.902,-2924,23600,-44,2106
2018-09-20 15:30:41.904,-2924,23600,-44,2100
2018-09-20 15:30:41.906,-2924,23600,-5680,2118
2018-09-20 15:30:41.909,8980,11328,-5680,2130
2018-09-20 15:30:41.911,8980,11328,-5680,2137
2018-09-20 15:30:41.913,-7936,17208,3140,2146
2018-09-20 15:30:41.916,-7936,17208,3140,2137
2018-09-20 15:30:41.918,-1652,13044,-1740,2144
2018-09-20 15:30:41.920,-1652,13044,-1740,2118
2018-09-20 15:30:41.923,-1744,23736,-1536,2101
2018-09-20 15:30:41.927,8084,10844,-4536,2130
2018-09-20 15:30:41.929,8084,10844,-4536,2135
2018-09-20 15:30:41.932,-7644,17424,2512,2138
2018-09-20 15:30:41.935,-7644,17424,2512,2138
2018-09-20 15:30:41.937,-7644,17424,-1524,2137
2018-09-20 15:30:41.939,-1748,13348,-1524,2128
2018-09-20 15:30:41.941,-1748,13348,-1524,2118
2018-09-20 15:30:41.944,-1044,23220,-2260,2100
2018-09-20 15:30:41.946,-1044,23220,-2260,2111
2018-09-20 15:30:41.948,6884,10792,-3776,2126
2018-09-20 15:30:41.950,6884,10792,-3776,2139
2018-09-20 15:30:41.953,-7048,17424,2020,2136
2018-09-20 15:30:41.956,-7048,17424,2020,2136
2018-09-20 15:30:41.959,-2216,13640,-752,2129
2018-09-20 15:30:41.962,-2216,13640,-752,2100
2018-09-20 15:30:41.965,260,22816,-2580,2097
2018-09-20 15:30:41.967,260,22816,-2580,2118
2018-09-20 15:30:41.969,3172,11296,-588,2130
2018-09-20 15:30:41.971,3172,11296,-588,2137
2018-09-20 15:30:41.974,-4756,16956,-868,2136
2018-09-20 15:30:41.976,-4756,16956,-868,2137
2018-09-20 15:30:41.978,-4756,15340,956,2127
2018-09-20 15:30:41.980,-3788,15340,956,2118
2018-09-20 15:30:41.983,-3788,15340,956,2102
2018-09-20 15:30:41.985,3768,21228,-5816,2097
2018-09-20 15:30:41.987,3768,21228,-5816,2125
2018-09-20 15:30:41.989,800,11684,988,2141
2018-09-20 15:30:41.992,800,11684,988,2137
2018-09-20 15:30:41.994,-3276,16488,-1788,2146
2018-09-20 15:30:41.996,-3276,16488,-1788,2144
2018-09-20 15:30:41.999,-3276,16508,1896,2135
2018-09-20 15:30:42.001,-4884,16508,1896,2118
2018-09-20 15:30:42.003,-4884,16508,1896,2096
2018-09-20 15:30:42.005,5836,19976,-6572,2101
2018-09-20 15:30:42.008,5836,19976,-6572,2128
2018-09-20 15:30:42.010,-1392,12244,2292,2136
2018-09-20 15:30:42.012,-1392,12244,2292,2141
2018-09-20 15:30:42.014,-2260,16036,-2716,2145
2018-09-20 15:30:42.017,-2260,16036,-2716,2136
2018-09-20 15:30:42.019,-5784,17424,2396,2131
2018-09-20 15:30:42.021,-5784,17424,2396,2117
2018-09-20 15:30:42.024,-5784,17424,-7528,2098
2018-09-20 15:30:42.026,7140,19104,-7528,2110
2018-09-20 15:30:42.028,7140,19104,-7528,2126
2018-09-20 15:30:42.030,-2872,12668,3312,2147
2018-09-20 15:30:42.033,-2872,12668,3312,2134
