0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,label
-6764,-536,-536,-6540,-6540,11440,11440,-7632,-7632,-444,-5816,11392,11392,-8004,-8004,-564,-564,-5704,-5704,-8084,-8084,-884,-884,-5028,-5028,11300,-8344,-8344,-1060,-4096,-4096,10572,10572,-8164,-8164,-8164,-1576,-3308,-3308,-3308,9856,9856,-7932,-7932,-7932,-1712,-1712,-2436,-2436,9036,9036,-7620,-7620,-2304,-2304,-1464,-1464,7948,7948,7948,-7040,-7040,-2872,-2872,140,140,6632,6632,-6748,-6748,-3080,-3080,-3080,784,784,5716,5716,-6236,-6236,-3632,-3632,-3632,1692,1692,4544,4544,-5528,-5528,-4080,-4080,3280,3280,2496,-4508,-4508,-4508,-4640,-4640,4292,4292,968,968,-3604,-3604,-3604,-5200,-5200,5804,5804,-788,-788,-2604,-2604,-2604,-5724,-5724,6720,6720,-2120,-2120,-1892,-1892,-1892,-6088,-6088,7988,7988,-3812,1
-3812,-1132,-1132,-1132,-6328,-6328,8944,8944,-5020,-5020,-596,-596,-596,-6576,-6576,10064,10064,-6068,-6068,-388,-388,-388,-6500,-6500,10800,10800,-7464,-7464,-200,-200,-6324,-6324,-6324,11508,11508,-7864,-7864,-544,-544,-5736,-5736,-5736,11408,11408,-8188,-8188,-776,-776,-4572,-4572,-4572,10840,10840,-8284,-8284,-1164,-1164,-3964,-3964,-3964,10076,10076,-8256,-8256,-1580,-1580,-2352,-2352,8780,8780,8780,-7756,-7756,-2088,-2088,-1192,-1192,7508,7508,7508,-7356,-7356,-2600,-2600,376,376,6184,6184,6184,-6880,-6880,-3124,-3124,1444,1444,4808,4808,4808,-6116,-6116,-3484,-3484,2548,2548,3680,3680,3680,-5268,-5268,-4192,-4192,3760,3760,2116,2116,2116,-4308,-4308,-4904,4856,4856,556,556,-3496,-3496,-3496,-5308,-5308,1
10516,10516,-6528,-6528,-416,-416,-6396,-6396,-6396,11040,11040,-7376,-7376,-404,-404,-5948,-5948,-5948,11256,11256,-7548,-7548,-716,-716,-5528,-5528,-5528,11128,11128,-7896,-7896,-1104,-1104,-4340,-4340,10676,10676,10676,-8012,-8012,-1528,-1528,-3620,-3620,9852,9852,9852,-7960,-7960,-1832,-1832,-2344,-2344,9272,9272,-7692,-7692,-7692,-2336,-2336,-1044,-1044,7688,7688,-7120,-7120,-7120,-2956,-2956,720,720,6148,6148,-6480,-6480,-6480,-3700,-3700,1872,1872,4164,4164,-5324,-5324,-5324,-4108,-4108,3256,3256,2960,2960,-4524,-4524,-4812,-4812,-4812,4276,4276,1168,1168,-3532,-3532,-3532,-5340,-5340,5536,5536,-372,-372,-2772,-2772,-2772,-5800,-5800,6768,6768,-2036,-2036,-1680,-1680,-6492,-6492,-6492,7796,7796,-3260,-3260,-1052,1
-6480,-6480,8788,8788,-4448,-4448,-4448,-532,-532,-6908,-6908,9528,9528,-5708,-5708,-5708,-64,-64,-6756,-6756,10392,10392,-6828,-6828,-6828,152,152,-6500,-6500,11380,11380,-7896,-7896,-7896,16,16,-5924,-5924,11292,11292,-8132,-8132,-432,-432,-5216,-5216,10996,10996,-8548,-8548,-920,-920,-920,-4536,-4536,10696,10696,-8336,-8336,-1220,-1220,-1220,-3400,-3400,9996,9996,-7796,-7796,-7796,-2032,-2032,-1864,-1864,7980,7980,-7032,-7032,-7032,-2760,-2760,-392,-392,6300,6300,-6376,-3212,932,5064,5064,-5304,-4260,-4260,2424,2424,3260,-4320,-4320,-4688,-4688,4032,4032,2068,2068,-188,-188,-6760,10484,10484,-6716,-6716,-6716,-204,-204,-6800,-6800,11384,11384,11384,-7492,-7492,-224,-224,-6252,-6252,11108,11108,-7540,-7540,1
-596,-596,-596,-5784,-5784,11032,11032,-8120,-8120,-756,-756,-4760,-4760,10792,10792,10792,-8084,-8084,-1036,-1036,-3724,-3724,9672,9672,9672,-7812,-7812,-1304,-1304,-3280,-3280,9096,9096,-6988,-6988,-6988,-2120,-2120,-2148,-2148,8156,8156,-6788,-6788,-6788,-2936,-2936,-380,-380,6612,6612,-6540,-6540,-2832,-2832,-2832,252,252,5660,5660,-5772,-5772,-3224,-3224,-3224,1020,1020,4220,4220,-4128,-4128,-5200,-5200,-5200,2984,2984,2600,2600,-3508,-3508,-4968,-4968,-4968,3724,3724,1360,-2828,-2828,-5508,-5508,4720,4720,4720,-120,-120,-1508,-1508,-6644,-6644,6324,6324,6324,-1388,-1388,-1152,-1152,-6744,-6744,7000,7000,7000,-2636,-2636,-168,-168,-7508,-7508,7944,7944,7944,-3508,-3508,-8,-8,-7028,-7028,8128,8128,1
8128,-4468,-4468,684,684,-8364,9776,-5604,-5604,592,592,9472,9472,-5376,-5376,-84,-84,-6852,-6852,9584,9584,9584,-5820,-5820,-584,-584,-5452,-5452,9216,9216,9216,-5972,-5972,-1096,-1096,-4732,-4732,8664,8664,-5884,-5884,-5884,-1480,-1480,-3316,-3316,7144,7144,-4232,-4232,-4232,-3044,-3044,-2256,-2256,6452,6452,-4308,-4308,-4308,-3384,-3384,-924,-924,5724,5724,5724,-4460,-4460,-3844,-3844,804,804,4052,4052,4052,-3320,-3320,-5072,-5072,2864,2864,1560,1560,-1004,-1004,-1004,-7728,-7728,4812,4812,-176,-176,-176,104,104,-7872,-7872,6052,6052,-1548,-1548,500,500,500,-8896,-8896,7668,7668,-2620,-2620,516,-7840,-7840,7488,7488,-3208,-3208,1608,1608,-9976,-9976,-9976,9360,9360,-4372,-6472,1684,1
1684,-8764,-8764,-8764,10964,10964,-6816,-6816,764,764,764,-5980,-5980,9132,9132,9132,-6392,-6392,-636,-636,-4092,-4092,-4092,7884,7884,-5256,-5256,-5256,-1816,-1816,-3504,-3504,7664,7664,-5156,-5156,-5156,-2248,-2248,-2584,-2584,7448,7448,-5672,-5672,-5672,-2884,-2884,-1212,-1212,6120,6120,-4868,-4868,-3400,-3400,-3400,280,280,4948,4948,-4640,-4640,-3644,-3644,-3644,1428,1428,3552,3552,-3524,-3524,-5036,-5036,-5036,3264,3264,1540,1540,-2696,-2696,-5328,-5328,-5328,4012,4012,288,288,-2164,-2164,-5668,-5668,-5668,5236,5236,-856,-856,-1720,-1720,-5936,-5936,6120,6120,6120,-2064,-2064,-1032,-1032,-6392,-6392,7924,7924,7924,-3884,-3884,-44,-44,-7212,-7212,8940,8940,8940,-5300,-5300,656,656,-7820,-7820,1
10420,10420,-6716,-6716,968,968,-7300,10920,10920,-7732,-7732,944,-7336,11636,11636,-8268,972,972,-7040,-7040,-7040,11740,-8808,-8808,748,748,-6300,11292,-8588,-8588,264,264,264,-5176,-5176,10860,10860,10860,-8780,-8780,-280,-280,-4580,-4580,-4580,10436,10436,-8552,-8552,-884,-884,-2668,-2668,9004,9004,9004,-7664,-7664,-1796,-1796,-1808,-1808,8080,8080,8080,-7092,-7092,-2288,-2288,-776,-776,6860,6860,6860,-6692,-6692,-2636,-2636,204,204,5808,5808,-5928,-5928,-5928,-3288,-3288,1284,1284,4492,4492,-5356,-5356,-5356,-3656,-3656,2456,2456,3052,3052,-4620,-4620,-4620,-4468,-4468,3464,3464,1500,1500,-3460,-3460,-3460,-5276,-5276,6308,6308,-2088,-2088,-1460,-1460,-1460,-6264,-6264,7900,7900,-3868,-3868,-252,1
-252,-6844,-6844,-6844,8552,8552,-5040,-5040,20,20,20,-6812,-6812,9908,9908,-6512,-6512,448,448,448,-7040,-7040,10544,10544,-7872,-7872,612,612,612,-6316,-6316,11288,11288,-8488,-8488,316,316,316,-6056,-6056,11476,11476,-8492,-8492,-220,-220,-220,-5240,-5240,11172,11172,-8776,-8776,-476,-476,-476,-3980,-3980,10216,10216,-8296,-8296,-1060,-1060,-3336,-3336,-3336,9620,9620,-7924,-7924,-1552,-1552,-2228,-2228,-2228,8460,8460,-7544,-7544,-2084,-2084,-1012,-1012,7180,7180,7180,-6928,-6928,-2604,-2604,36,36,5776,5776,5776,-6068,-6068,-3284,-3284,1660,1660,3824,3824,3824,-4932,-4932,-3880,-3880,2844,2844,2164,2164,2164,-4120,-4120,-4520,-4520,4608,4608,-500,-500,-500,-2188,-2188,-5660,-5660,6260,1
6260,-2064,-2064,-1364,-1364,-6116,-6116,7344,7344,7344,-4052,-4052,-404,-404,-6892,-6892,9412,9412,9412,-5624,-5624,344,344,-6952,-6952,10184,10184,-6568,-6568,-6568,348,348,-6928,-6928,10756,10756,10756,-7728,-7728,292,292,-6540,-6540,11256,11256,-8024,-8024,-8024,92,92,-5840,-5840,11164,11164,-7912,-7912,-7912,-308,-308,-5088,-5088,10576,10576,-7588,-7588,-7588,-1032,-1032,-4072,-4072,9908,9908,-7760,-7760,-7760,-1564,-1564,-2736,8972,-7396,-7396,-2160,-2160,-2160,-1548,-1548,7872,7872,-6996,-6996,-2204,-2204,-2204,-832,-832,6996,6996,-6572,-6572,-2892,-2892,-2892,460,460,5496,5496,-5732,-5732,-3568,-3568,-3568,1664,1664,4424,4424,-5256,-5256,-4008,-4008,-4008,2724,2724,2484,2484,-4120,-4120,-4164,-4164,1
