date_time,z
2018-09-20 15:30:41.730,5184.000
2018-09-20 15:30:41.733,1820.000
2018-09-20 15:30:41.736,-1544.000
2018-09-20 15:30:41.739,-4908.000
2018-09-20 15:30:41.742,-6848.000
2018-09-20 15:30:41.745,-8788.000
2018-09-20 15:30:41.748,-8788.000
2018-09-20 15:30:41.751,-1688.000
2018-09-20 15:30:41.754,5412.000
2018-09-20 15:30:41.757,4698.000
2018-09-20 15:30:41.760,3984.000
2018-09-20 15:30:41.763,3984.000
2018-09-20 15:30:41.766,-2538.000
2018-09-20 15:30:41.769,-9060.000
2018-09-20 15:30:41.772,-7698.667
2018-09-20 15:30:41.775,-6337.333
2018-09-20 15:30:41.778,-4976.000
2018-09-20 15:30:41.781,-642.000
2018-09-20 15:30:41.784,3692.000
2018-09-20 15:30:41.787,4562.000
2018-09-20 15:30:41.790,5432.000
2018-09-20 15:30:41.793,5432.000
2018-09-20 15:30:41.796,352.000
2018-09-20 15:30:41.799,-4728.000
2018-09-20 15:30:41.802,-6089.333
2018-09-20 15:30:41.805,-7450.667
2018-09-20 15:30:41.808,-8812.000
2018-09-20 15:30:41.811,-1732.000
2018-09-20 15:30:41.814,5348.000
2018-09-20 15:30:41.817,-4440.000
2018-09-20 15:30:41.820,-5768.000
2018-09-20 15:30:41.823,-7096.000
2018-09-20 15:30:41.826,-8424.000
2018-09-20 15:30:41.829,-8424.000
2018-09-20 15:30:41.832,-5790.000
2018-09-20 15:30:41.835,-3156.000
2018-09-20 15:30:41.838,-522.000
2018-09-20 15:30:41.841,2112.000
2018-09-20 15:30:41.844,-1349.333
2018-09-20 15:30:41.847,-4810.667
2018-09-20 15:30:41.850,-8272.000
2018-09-20 15:30:41.853,-6718.667
2018-09-20 15:30:41.856,-5165.333
2018-09-20 15:30:41.859,-3612.000
2018-09-20 15:30:41.862,-4918.667
2018-09-20 15:30:41.865,-6225.333
2018-09-20 15:30:41.868,-7532.000
2018-09-20 15:30:41.871,-6057.333
2018-09-20 15:30:41.874,-4582.667
2018-09-20 15:30:41.877,-3108.000
2018-09-20 15:30:41.880,-4304.000
2018-09-20 15:30:41.883,-5500.000
2018-09-20 15:30:41.886,-6696.000
2018-09-20 15:30:41.889,-3176.000
2018-09-20 15:30:41.892,344.000
2018-09-20 15:30:41.895,3864.000
2018-09-20 15:30:41.898,2561.333
2018-09-20 15:30:41.901,1258.667
2018-09-20 15:30:41.904,-44.000
2018-09-20 15:30:41.907,1017.333
2018-09-20 15:30:41.910,2078.667
2018-09-20 15:30:41.913,3140.000
2018-09-20 15:30:41.916,3140.000
2018-09-20 15:30:41.919,2473.714
2018-09-20 15:30:41.922,1807.429
2018-09-20 15:30:41.925,1141.143
2018-09-20 15:30:41.928,474.857
2018-09-20 15:30:41.931,-191.429
2018-09-20 15:30:41.934,-857.714
2018-09-20 15:30:41.937,-1524.000
2018-09-20 15:30:41.940,-1769.333
2018-09-20 15:30:41.943,-2014.667
2018-09-20 15:30:41.946,-2260.000
2018-09-20 15:30:41.949,-2305.714
2018-09-20 15:30:41.952,-2351.429
2018-09-20 15:30:41.955,-2397.143
2018-09-20 15:30:41.958,-2442.857
2018-09-20 15:30:41.961,-2488.571
2018-09-20 15:30:41.964,-2534.286
2018-09-20 15:30:41.967,-2580.000
2018-09-20 15:30:41.970,-2009.333
2018-09-20 15:30:41.973,-1438.667
2018-09-20 15:30:41.976,-868.000
2018-09-20 15:30:41.979,-2517.333
2018-09-20 15:30:41.982,-4166.667
2018-09-20 15:30:41.985,-5816.000
2018-09-20 15:30:41.988,-4473.333
2018-09-20 15:30:41.991,-3130.667
2018-09-20 15:30:41.994,-1788.000
2018-09-20 15:30:41.997,-560.000
2018-09-20 15:30:42.000,668.000
2018-09-20 15:30:42.003,1896.000
2018-09-20 15:30:42.006,2028.000
2018-09-20 15:30:42.009,2160.000
2018-09-20 15:30:42.012,2292.000
2018-09-20 15:30:42.015,2326.667
2018-09-20 15:30:42.018,2361.333
2018-09-20 15:30:42.021,2396.000
2018-09-20 15:30:42.024,-7528.000
2018-09-20 15:30:42.027,-2108.000
2018-09-20 15:30:42.030,3312.000
2018-09-20 15:30:42.033,3312.000
2018-09-20 15:30:42.036,3164.000
2018-09-20 15:30:42.039,3016.000
2018-09-20 15:30:42.042,2868.000
2018-09-20 15:30:42.045,3240.000
2018-09-20 15:30:42.048,3612.000
2018-09-20 15:30:42.051,3984.000
2018-09-20 15:30:42.054,3766.667
2018-09-20 15:30:42.057,3549.333
2018-09-20 15:30:42.060,3332.000
2018-09-20 15:30:42.063,-673.333
2018-09-20 15:30:42.066,-4678.667
2018-09-20 15:30:42.069,-8684.000
2018-09-20 15:30:42.072,-7197.333
2018-09-20 15:30:42.075,-5710.667
2018-09-20 15:30:42.078,-4224.000
2018-09-20 15:30:42.081,-5686.667
2018-09-20 15:30:42.084,-7149.333
2018-09-20 15:30:42.087,-8612.000
2018-09-20 15:30:42.090,-7212.000
2018-09-20 15:30:42.093,-5812.000
2018-09-20 15:30:42.096,-4412.000
2018-09-20 15:30:42.099,-1892.000
2018-09-20 15:30:42.102,628.000
2018-09-20 15:30:42.105,3148.000
2018-09-20 15:30:42.108,3848.000
2018-09-20 15:30:42.111,4548.000
2018-09-20 15:30:42.114,5248.000
2018-09-20 15:30:42.117,4317.333
2018-09-20 15:30:42.120,3386.667
2018-09-20 15:30:42.123,2456.000
2018-09-20 15:30:42.126,3416.000
2018-09-20 15:30:42.129,4376.000
2018-09-20 15:30:42.132,5336.000
2018-09-20 15:30:42.135,4253.333
