0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,label
4608,-3760,-3760,2960,2960,-8836,-8836,4736,-3860,-3860,2352,-8692,-8692,4856,4856,-3252,-3252,2044,-8704,4928,4928,-3060,-3060,1788,1788,-8292,4528,4528,-2488,812,812,-7200,-7200,3924,3924,-2188,-2188,412,412,412,-6520,-6520,3356,3356,-1784,-1784,-1784,-920,-920,-5932,3012,3012,3012,-1068,-1068,-1488,-1488,-4948,-4948,2196,2196,2196,-364,-364,-2344,-2344,-3320,-3320,1572,1572,124,124,124,-3196,-3196,-2760,-2760,944,944,816,816,816,-4308,-4308,-1720,-1720,124,124,1244,-5336,-5336,-268,-268,-800,-800,1916,1916,1916,-5612,-5612,772,772,-1520,-1520,2288,2288,2288,-6664,-6664,1768,1768,-2208,-2208,2728,2728,2728,-7308,-7308,2572,2572,-2788,-2788,3032,3032,3032,-7932,-7932,3516,1
3516,-3552,-3552,3452,3452,3452,-8232,-8232,3988,3988,-3808,-3808,3436,3436,3436,-8680,-8680,4100,4100,-3848,-3848,3312,3312,3312,-8580,-8580,4580,4580,-3872,-3872,2976,2976,2976,-8628,-8628,4668,4668,-3492,-3492,2392,2392,-8040,-8040,-8040,4488,4488,-3176,-3176,1552,1552,-7764,-7764,-7764,3900,3900,-2368,-2368,856,856,-6772,-6772,-6772,3624,3624,-1748,-1748,-776,-776,-5348,-5348,-5348,2576,2576,-1092,-1092,-1080,-1080,-4276,-4276,1784,1784,1784,-664,-664,-2780,-2780,-3080,-3080,1060,1060,1060,176,176,-3492,-3492,-1752,-1752,320,320,320,524,524,-4452,-4452,-652,-652,-364,-364,-364,1180,1180,-6012,-6012,392,392,-1128,-1128,-1128,1956,-6064,-6064,1184,1184,-1688,-1688,2096,2096,2096,1
-8444,-8444,4388,4388,-3948,-3948,3036,3036,-8792,-8792,-8792,4684,4684,-3540,-3540,2320,2320,-8484,-8484,-8484,4656,4656,-3276,-3276,2080,2080,-8116,-8116,-8116,4608,4608,-2744,-2744,1336,1336,-7260,-7260,3688,3688,3688,-2188,-2188,396,396,-6424,-6424,3080,3080,3080,-1548,-1548,-1204,-1204,-5796,-5796,2520,2520,2520,-676,-676,-1640,-1640,-4416,-4416,1872,1872,1872,-164,-164,-3076,-3076,-3192,-3192,864,864,648,648,648,-4072,-4072,-1336,-1336,-368,-368,1356,1356,1356,-5112,-5112,-520,-520,-928,-928,2088,2088,2088,-5836,-5836,672,672,-1844,-1844,2552,2552,2552,-6664,-6664,1336,1336,-2476,-2476,2876,2876,2876,-7072,-7072,2192,2192,-3120,-3120,3392,3392,3392,-7868,-7868,2908,-3500,-3500,1
3540,3540,-8056,-8056,3616,3616,-3924,-3924,-3924,3904,3904,-8340,-8340,4088,4088,-4400,-4400,-4400,3460,3460,-8504,-8504,4064,4064,4064,-4332,-4332,3152,3152,-8588,-8588,4612,4612,-3724,-3724,-3724,2380,2380,-8120,-8120,4412,4412,-3520,-3520,1752,1752,-7772,-7772,4340,4340,-2908,-2908,-2908,880,880,-7248,-7248,3868,3868,-2372,-2372,-2372,544,544,-6364,-6364,3176,3176,-1356,-1356,-1356,-948,-948,-4760,-4760,2172,2172,-348,-348,-348,-2540,-2540,-3124,1080,1080,-3700,-3700,-1832,-1832,208,724,724,-4828,-4828,-752,-740,-740,1784,1784,-5728,-5728,-580,-580,-3688,-3688,3284,-8316,-8316,4452,4452,-3796,-3796,-3796,3224,3224,-8900,-8900,-8900,4288,4288,-3812,-3812,2640,2640,-8404,-8404,4148,4148,1
-3416,-3416,2204,2204,2204,-8104,-8104,4088,4088,-2864,-2864,1560,1560,-6960,-6960,3516,3516,3516,-2312,-2312,904,904,-6260,-6260,3048,3048,3048,-1964,-1964,84,84,-5348,-5348,2616,2616,2616,-1504,-1504,-1156,-1156,-4572,-4572,1968,1968,-496,-496,-496,-2232,-2232,-3148,-3148,1164,1164,-224,-224,-2928,-2928,-2928,-2112,-2112,804,804,24,24,-3696,-3696,-3696,-1328,-1328,-104,-104,724,724,-5132,-5132,-5132,-40,-40,-664,-664,1744,1744,-5796,-5796,576,576,-1640,-1640,1596,1596,-6140,-6140,1632,1632,1632,-2224,-2224,2104,2104,-7012,-7012,2472,2472,2472,-2740,-2740,2672,2672,-7160,-7160,3260,3260,3260,-3640,-3640,3076,3076,-8168,-8168,3476,3476,3476,-3644,-3644,3000,3000,-7752,-7752,1
4180,4180,4180,-4088,-4088,3100,-7948,3768,3768,-3500,2900,-7668,-7668,3720,3720,-3672,-3672,2096,2096,-7560,-7560,3200,3200,3200,-2552,-2552,1136,1136,-6236,-6236,3048,3048,3048,-2640,-2640,164,164,-5808,-5808,2836,2836,-1604,-1604,-1604,-700,-700,-4672,-4672,1696,1696,-956,-956,-956,-1888,-1888,-3744,-3744,1084,1084,364,364,364,-2776,-2776,-2188,-2188,-448,-448,-448,796,796,-4208,-4208,-732,-732,-756,-756,-756,1408,1408,-5512,-5512,664,664,-2016,-2016,-2016,2476,2476,-6632,-6632,1896,1896,-2996,-2996,3472,3472,3472,-7512,-7512,2536,2536,-3548,-3548,4200,4200,4200,-8256,-8256,3056,3056,-3856,3820,3820,-8036,-8036,3744,3744,-4344,-4344,4072,4072,-8400,-8400,-8400,3992,3484,-4172,1
-4172,3608,3608,-7992,-7992,-7992,3316,3316,-3216,-3216,-3216,2012,2012,-6728,-6728,2476,2476,2476,-2380,-2380,556,556,556,-4896,-4896,2192,2192,-2020,-2020,-2020,-620,-620,-4204,-4204,1280,1280,-536,-536,-536,-1404,-1404,-3932,-3932,992,992,-256,-256,-256,-2300,-2300,-2924,-2924,36,36,356,356,-3440,-3440,-3440,-1528,-1528,-940,-940,712,712,-4352,-4352,-4352,-240,-240,-1540,-1540,2028,2028,-5372,-5372,-5372,1068,1068,-2060,-2060,2828,2828,-6376,-6376,-6376,1704,1704,-2884,-2884,2952,2952,-6944,-6944,-6944,2180,2180,-3552,-3552,3032,3032,-6912,-6912,3064,3064,3064,-3924,-3924,3520,3520,-7780,-7780,-7780,4000,4000,-4476,-4476,3952,3952,-8168,-8168,4544,4544,4544,-5104,-5104,4140,4140,1
-9060,-9060,4656,4656,-5228,-5228,3932,-8952,5312,5312,-4912,-4912,3924,-8668,-8668,4712,-4596,-4596,3384,3384,-8320,-8320,4796,4796,-4604,-4604,-7828,-7828,4536,4536,-4092,-4092,-4092,2156,2156,-7320,-7320,3904,3904,3904,-3476,-3476,1692,1692,-6412,-6412,-6412,3364,3364,-2300,-2300,-88,-88,-5176,-5176,2196,2196,2196,-1768,-1768,-800,-800,-4264,-4264,1432,1432,1432,-868,-868,-1844,-1844,-3384,-3384,856,856,856,-120,-120,-2384,-2384,-2324,-2324,192,192,444,444,444,-3368,-3368,-1216,-1216,-680,-680,820,820,820,-4564,-4564,-212,-212,-1724,-1724,1736,1736,1736,-5216,-5216,876,876,-2348,-2348,2340,2340,2340,-6908,-6908,2652,2652,-3708,-3708,3168,3168,3168,-7620,-7620,3472,3472,-4768,1
-4768,3884,3884,3884,-7692,-7692,4012,4012,-5108,-5108,4184,4184,4184,-8192,-8192,4404,4404,-5088,-5088,3960,3960,3960,-8236,-8236,4720,4720,-4776,-4776,3336,3336,3336,-8372,-8372,4572,4572,-4256,-4256,2860,2860,2860,-7892,-7892,4548,4548,-3956,-3956,2104,2104,2104,-7248,-7248,3884,3884,-3148,-3148,1092,1092,1092,-6372,-6372,3188,3188,-2372,-2372,236,236,-5728,-5728,-5728,2516,2516,-1880,-1880,-576,-576,-4612,-4612,-4612,1872,1872,-1032,-1032,-1500,-1500,-3544,-3544,-3544,1216,1216,-508,-508,-2572,-2572,-2336,-2336,28,28,28,292,292,-3700,-3700,-956,-956,-1492,-1492,-1492,1284,1284,-4840,-4840,344,344,-2116,-2116,-2116,2052,2052,-5908,-5908,1676,1676,-3336,-3336,-3336,2888,2888,-6644,1
2648,2648,2648,-4028,-4028,3152,3152,-7320,-7320,-7320,3492,3492,-4636,-4636,3940,3940,-8140,-8140,4408,4408,4408,-4924,-4924,4296,4296,-8352,-8352,4484,4484,4484,-4880,-4880,4200,4200,-8480,-8480,4460,4460,4460,-4744,-4744,3396,3396,-8388,-8388,4224,4224,4224,-4072,-4072,2732,2732,-7764,-7764,3880,3880,-3364,-3364,-3364,1920,1920,-6812,-6812,3320,3320,-2864,-2864,-2864,900,900,-6216,-6216,2604,2604,-2188,-2188,132,132,-5172,1924,1924,-1312,-1312,-1312,-856,-856,-4064,-4064,1380,1380,-572,-572,-572,-1820,-1820,-3288,-3288,532,532,-92,-92,-92,-2840,-2840,-1876,-1876,-416,-416,508,508,-3664,-3664,-3664,-1140,-1140,-1056,-1056,1156,1156,1156,-4512,-4512,156,156,-1868,-1868,1660,1660,1
