date_time,y
2018-09-20 15:24:10.869,13668.000
2018-09-20 15:24:10.872,19388.000
2018-09-20 15:24:10.875,17524.000
2018-09-20 15:24:10.878,15660.000
2018-09-20 15:24:10.881,15740.000
2018-09-20 15:24:10.884,15078.667
2018-09-20 15:24:10.887,14417.333
2018-09-20 15:24:10.890,13756.000
2018-09-20 15:24:10.893,14524.000
2018-09-20 15:24:10.896,15292.000
2018-09-20 15:24:10.899,16060.000
2018-09-20 15:24:10.902,15497.333
2018-09-20 15:24:10.905,14934.667
2018-09-20 15:24:10.908,14372.000
2018-09-20 15:24:10.911,14981.333
2018-09-20 15:24:10.914,15590.667
2018-09-20 15:24:10.917,16200.000
2018-09-20 15:24:10.920,15708.000
2018-09-20 15:24:10.923,15216.000
2018-09-20 15:24:10.926,14724.000
2018-09-20 15:24:10.929,14724.000
2018-09-20 15:24:10.932,16894.000
2018-09-20 15:24:10.935,19064.000
2018-09-20 15:24:10.938,16468.000
2018-09-20 15:24:10.941,15970.667
2018-09-20 15:24:10.944,15473.333
2018-09-20 15:24:10.947,14976.000
2018-09-20 15:24:10.950,16952.000
2018-09-20 15:24:10.953,18928.000
2018-09-20 15:24:10.956,18928.000
2018-09-20 15:24:10.959,17385.333
2018-09-20 15:24:10.962,15842.667
2018-09-20 15:24:10.965,14300.000
2018-09-20 15:24:10.968,15750.667
2018-09-20 15:24:10.971,17201.333
2018-09-20 15:24:10.974,18652.000
2018-09-20 15:24:10.977,16962.667
2018-09-20 15:24:10.980,15273.333
2018-09-20 15:24:10.983,13584.000
2018-09-20 15:24:10.986,14409.333
2018-09-20 15:24:10.989,15234.667
2018-09-20 15:24:10.992,16060.000
2018-09-20 15:24:10.995,16441.333
2018-09-20 15:24:10.998,16822.667
2018-09-20 15:24:11.001,17204.000
2018-09-20 15:24:11.004,16893.333
2018-09-20 15:24:11.007,16582.667
2018-09-20 15:24:11.010,16272.000
2018-09-20 15:24:11.013,16686.667
2018-09-20 15:24:11.016,17101.333
2018-09-20 15:24:11.019,17516.000
2018-09-20 15:24:11.022,17266.667
2018-09-20 15:24:11.025,17017.333
2018-09-20 15:24:11.028,16768.000
2018-09-20 15:24:11.031,16940.000
2018-09-20 15:24:11.034,17112.000
2018-09-20 15:24:11.037,17284.000
2018-09-20 15:24:11.040,15916.000
2018-09-20 15:24:11.043,14548.000
2018-09-20 15:24:11.046,13180.000
2018-09-20 15:24:11.049,14520.000
2018-09-20 15:24:11.052,15860.000
2018-09-20 15:24:11.055,17200.000
2018-09-20 15:24:11.058,17285.600
2018-09-20 15:24:11.061,17371.200
2018-09-20 15:24:11.064,17456.800
2018-09-20 15:24:11.067,17542.400
2018-09-20 15:24:11.070,17628.000
2018-09-20 15:24:11.073,17684.000
2018-09-20 15:24:11.076,17740.000
2018-09-20 15:24:11.079,17796.000
2018-09-20 15:24:11.082,16150.667
2018-09-20 15:24:11.085,14505.333
2018-09-20 15:24:11.088,12860.000
2018-09-20 15:24:11.091,13998.667
2018-09-20 15:24:11.094,15137.333
2018-09-20 15:24:11.097,16276.000
2018-09-20 15:24:11.100,15201.333
2018-09-20 15:24:11.103,14126.667
2018-09-20 15:24:11.106,13052.000
2018-09-20 15:24:11.109,14077.333
2018-09-20 15:24:11.112,15102.667
2018-09-20 15:24:11.115,16128.000
2018-09-20 15:24:11.118,15343.000
2018-09-20 15:24:11.121,14558.000
2018-09-20 15:24:11.124,13773.000
2018-09-20 15:24:11.127,12988.000
2018-09-20 15:24:11.130,13936.000
2018-09-20 15:24:11.133,14884.000
2018-09-20 15:24:11.136,15832.000
2018-09-20 15:24:11.139,14918.667
2018-09-20 15:24:11.142,14005.333
2018-09-20 15:24:11.145,13092.000
2018-09-20 15:24:11.148,13092.000
2018-09-20 15:24:11.151,15954.000
2018-09-20 15:24:11.154,18816.000
2018-09-20 15:24:11.157,15776.000
2018-09-20 15:24:11.160,16442.000
2018-09-20 15:24:11.163,17108.000
2018-09-20 15:24:11.166,13336.000
2018-09-20 15:24:11.169,16282.000
2018-09-20 15:24:11.172,19228.000
2018-09-20 15:24:11.175,19228.000
2018-09-20 15:24:11.178,17858.000
2018-09-20 15:24:11.181,16488.000
2018-09-20 15:24:11.184,16488.000
2018-09-20 15:24:11.187,17918.000
2018-09-20 15:24:11.190,19348.000
2018-09-20 15:24:11.193,19348.000
2018-09-20 15:24:11.196,17542.000
2018-09-20 15:24:11.199,15736.000
2018-09-20 15:24:11.202,15952.000
2018-09-20 15:24:11.205,17032.000
2018-09-20 15:24:11.208,18112.000
2018-09-20 15:24:11.211,19192.000
2018-09-20 15:24:11.214,17997.333
2018-09-20 15:24:11.217,16802.667
2018-09-20 15:24:11.220,15608.000
2018-09-20 15:24:11.223,15185.333
2018-09-20 15:24:11.226,14762.667
2018-09-20 15:24:11.229,14340.000
2018-09-20 15:24:11.232,14948.000
2018-09-20 15:24:11.235,15556.000
2018-09-20 15:24:11.238,16164.000
2018-09-20 15:24:11.241,15657.333
2018-09-20 15:24:11.244,15150.667
2018-09-20 15:24:11.247,14644.000
2018-09-20 15:24:11.250,15140.000
2018-09-20 15:24:11.253,15636.000
2018-09-20 15:24:11.256,16132.000
2018-09-20 15:24:11.259,15894.667
2018-09-20 15:24:11.262,15657.333
2018-09-20 15:24:11.265,15420.000
2018-09-20 15:24:11.268,14956.000
2018-09-20 15:24:11.271,16724.000
2018-09-20 15:24:11.274,18492.000
2018-09-20 15:24:11.277,16476.000
2018-09-20 15:24:11.280,15650.000
2018-09-20 15:24:11.283,14824.000
2018-09-20 15:24:11.286,14824.000
2018-09-20 15:24:11.289,16572.000
2018-09-20 15:24:11.292,18320.000
2018-09-20 15:24:11.295,18320.000
2018-09-20 15:24:11.298,17618.000
2018-09-20 15:24:11.301,16916.000
2018-09-20 15:24:11.304,14640.000
2018-09-20 15:24:11.307,15048.000
2018-09-20 15:24:11.310,15456.000
2018-09-20 15:24:11.313,18160.000
2018-09-20 15:24:11.316,17672.000
2018-09-20 15:24:11.319,17184.000
2018-09-20 15:24:11.322,17184.000
2018-09-20 15:24:11.325,16372.000
2018-09-20 15:24:11.328,15560.000
2018-09-20 15:24:11.331,15560.000
2018-09-20 15:24:11.334,16420.000
2018-09-20 15:24:11.337,17280.000
2018-09-20 15:24:11.340,17280.000
2018-09-20 15:24:11.343,16950.667
2018-09-20 15:24:11.346,16621.333
