date_time,x
2018-09-20 15:17:26.910,-746.667
2018-09-20 15:17:26.913,-756.000
2018-09-20 15:17:26.916,-745.333
2018-09-20 15:17:26.919,-734.667
2018-09-20 15:17:26.922,-724.000
2018-09-20 15:17:26.925,-753.333
2018-09-20 15:17:26.928,-782.667
2018-09-20 15:17:26.931,-812.000
2018-09-20 15:17:26.934,-820.000
2018-09-20 15:17:26.937,-828.000
2018-09-20 15:17:26.940,-836.000
2018-09-20 15:17:26.943,-829.333
2018-09-20 15:17:26.946,-822.667
2018-09-20 15:17:26.949,-816.000
2018-09-20 15:17:26.952,-790.667
2018-09-20 15:17:26.955,-765.333
2018-09-20 15:17:26.958,-740.000
2018-09-20 15:17:26.961,-741.333
2018-09-20 15:17:26.964,-742.667
2018-09-20 15:17:26.967,-744.000
2018-09-20 15:17:26.970,-736.000
2018-09-20 15:17:26.973,-728.000
2018-09-20 15:17:26.976,-720.000
2018-09-20 15:17:26.979,-725.333
2018-09-20 15:17:26.982,-730.667
2018-09-20 15:17:26.985,-736.000
2018-09-20 15:17:26.988,-762.667
2018-09-20 15:17:26.991,-789.333
2018-09-20 15:17:26.994,-816.000
2018-09-20 15:17:26.997,-789.333
2018-09-20 15:17:27.000,-762.667
2018-09-20 15:17:27.003,-736.000
2018-09-20 15:17:27.006,-758.667
2018-09-20 15:17:27.009,-781.333
2018-09-20 15:17:27.012,-804.000
2018-09-20 15:17:27.015,-796.000
2018-09-20 15:17:27.018,-782.000
2018-09-20 15:17:27.021,-768.000
2018-09-20 15:17:27.024,-750.667
2018-09-20 15:17:27.027,-733.333
2018-09-20 15:17:27.030,-716.000
2018-09-20 15:17:27.033,-737.333
2018-09-20 15:17:27.036,-758.667
2018-09-20 15:17:27.039,-780.000
2018-09-20 15:17:27.042,-781.333
2018-09-20 15:17:27.045,-782.667
2018-09-20 15:17:27.048,-784.000
2018-09-20 15:17:27.051,-785.333
2018-09-20 15:17:27.054,-786.667
2018-09-20 15:17:27.057,-788.000
2018-09-20 15:17:27.060,-781.333
2018-09-20 15:17:27.063,-774.667
2018-09-20 15:17:27.066,-768.000
2018-09-20 15:17:27.069,-763.000
2018-09-20 15:17:27.072,-758.000
2018-09-20 15:17:27.075,-753.000
2018-09-20 15:17:27.078,-748.000
2018-09-20 15:17:27.081,-757.333
2018-09-20 15:17:27.084,-766.667
2018-09-20 15:17:27.087,-776.000
2018-09-20 15:17:27.090,-770.667
2018-09-20 15:17:27.093,-765.333
2018-09-20 15:17:27.096,-760.000
2018-09-20 15:17:27.099,-760.000
2018-09-20 15:17:27.102,-760.000
2018-09-20 15:17:27.105,-760.000
2018-09-20 15:17:27.108,-760.000
2018-09-20 15:17:27.111,-758.667
