20180920-15:38:57.710,-636,16168,-1100,2142
20180920-15:38:57.713,-636,16212,-1156,2149
20180920-15:38:57.715,-644,16212,-1156,2146
20180920-15:38:57.718,-644,16248,-1156,2139
20180920-15:38:57.720,-748,16248,-1156,2141
20180920-15:38:57.722,-748,16248,-1156,2140
20180920-15:38:57.724,-688,16280,-1204,2147
20180920-15:38:57.726,-688,16280,-1204,2132
20180920-15:38:57.728,-680,16252,-1156,2149
20180920-15:38:57.730,-680,16252,-1156,2143
20180920-15:38:57.733,-680,16252,-1156,2147
20180920-15:38:57.735,-616,16228,-1112,2144
20180920-15:38:57.737,-616,16228,-1112,2143
20180920-15:38:57.739,-660,16240,-1212,2137
20180920-15:38:57.741,-660,16240,-1212,2146
20180920-15:38:57.743,-616,16176,-1148,2148
20180920-15:38:57.746,-616,16176,-1148,2138
20180920-15:38:57.748,-616,16176,-1148,2143
20180920-15:38:57.750,-680,16264,-1076,2134
20180920-15:38:57.752,-680,16264,-1076,2142
20180920-15:38:57.755,-652,16252,-1184,2143
20180920-15:38:57.757,-652,16252,-1184,2139
20180920-15:38:57.759,-696,16156,-1100,2149
20180920-15:38:57.761,-696,16156,-1100,2145
20180920-15:38:57.763,-696,16304,-1112,2141
20180920-15:38:57.765,-684,16304,-1112,2148
20180920-15:38:57.768,-684,16304,-1112,2142
20180920-15:38:57.770,-700,16256,-1000,2140
20180920-15:38:57.772,-700,16256,-1000,2147
20180920-15:38:57.774,-600,16180,-1152,2149
20180920-15:38:57.776,-600,16180,-1152,2142
20180920-15:38:57.778,-600,16180,-1196,2139
20180920-15:38:57.780,-604,16184,-1196,2139
20180920-15:38:57.783,-604,16184,-1196,2139
20180920-15:38:57.785,-700,16160,-1144,2138
20180920-15:38:57.787,-700,16160,-1144,2140
20180920-15:38:57.790,-696,16200,-1120,2135
20180920-15:38:57.792,-696,16200,-1120,2139
20180920-15:38:57.794,-732,16268,-1092,2142
20180920-15:38:57.797,-732,16268,-1092,2142
20180920-15:38:57.799,-732,16292,-1064,2135
20180920-15:38:57.801,-660,16292,-1064,2145
20180920-15:38:57.804,-660,16292,-1064,2141
20180920-15:38:57.806,-668,16216,-1104,2148
20180920-15:38:57.808,-668,16216,-1104,2134
20180920-15:38:57.810,-740,16212,-1020,2150
20180920-15:38:57.812,-740,16212,-1020,2148
20180920-15:38:57.815,-720,16156,-1096,2140
20180920-15:38:57.817,-720,16156,-1096,2141
